UID,abstract
Q3-1,本研究では，移動軌跡データに関する質問応答（QA）データセットを構築した．より具体的には，事実照会問題，選択式問題，自由記述式問題という3 種類の QA タスクを定義し，それぞれに対して 500件の問題・回答ペアを作成した．構築したデータを使用して大規模言語モデルの性能を評価し，一日における移動軌跡データに関する QA よりも，複数日にまたがる移動軌跡データに関する QA の方が難易度が高いことがわかった．
E7-4,大規模言語モデル（LLM）は幅広い分野で応用が進んでおり，会計ドメインにおいても活用が期待されている．そこで本論文では，弥生株式会社の持つ会計業務に関する質問の解説ページを収集し，検索システム構築および精度評価に用いることのできる弥生 QA v1 データセットを構築した．このデータセットを用いて既存のベクトル検索手法の評価を行い，さらにその検索結果を LLM によって順位付けした．この結果，順位付けを実施しない従来手法に比べて正答率の向上が見られ，会計ドメインにおいて有効となる検索手法を示した．
A2-4,本研究では，固有表現抽出におけるタスク特化型BERT モデルと大規模言語モデル（Large LanguageModels，LLM）の一つである Gemini との性能と実用性を比較評価した．独自に構築したデータセットを用いて，few-shot 学習とﬁne-tuning の両方の学習方法での性能を分析し，タスク適合性やコストなどを考慮に入れて実用面での評価も行った．結果として，タスク特化型 BERT のﬁne-tuning において最も高い性能を示し，Gemini は few-shot 学習での柔軟性と，ﬁne-tuning による性能向上の可能性を示した．本研究の知見は，実用的な固有表現抽出システムの設計と実装に貢献すると期待される．
P8-2,事業セグメントに着目した類似企業の特定は，ポートフォリオの構築や，資産価格や債券金利の適切な設定など金融機関の主要業務に関わる重要な課題とされている．類似企業の特定は，各社の事業セグメントに基づき異なる粒度で各企業に独自のカテゴリーを割り当てた業種分類に基づいて行われる．しかし，複数の業種にまたがる事業をもつ企業の場合，ひとつの企業に複数の業種を割り当てることができないため，類似企業を適切に特定することが困難である．そこで本研究では，有価証券報告書で報告された事業セグメントの記述よりキーワードを抽出し，その周辺のコンテキストを含めてベクトル化することで，多様な意味や潜在的な文脈を抽出する手法と，大規模言語モデルの内部知識に基づき企業の一般的な業種イメージをキーワードとして表現する手法を組み合わせるハイブリッド検索手法を提案した．これにより，従来の業種分類では困難だった，事業セグメントを考慮した類似企業検索を実現した．評価実験により，業種抽出性能と株式投資のリターン相関の評価において，提案モデルがベースラインモデルを上回る性能を示した．
P7-23,文章の内容的な誤りを正す校閲は，文章の質を担保するために重要な工程である．本研究では，大規模言語モデル(LLM)を活用した校閲支援の実現に向け，人間が書いた文章に生じる Hallucination の特徴を分析し，LLM の校閲能力を評価するベンチマークを構築する．新聞の訂正記事を用いた分析では，漢字誤変換や数字の桁のずれといった，人間が書いた文章ならではの特徴があるとわかった．分析結果をもとに人間が起こしやすい Hallucination を含む文章を自動生成し LLM を評価した結果，LLM にとって校閲は困難なタスクであることを確認した．
Q5-7,近年の大規模言語モデル（LLM）を活用した対話システムの飛躍的な発展に伴い，対話システムのパーソナライズへの関心も高まってきている．しかし新たな性格のテキスト生成モデルを表現するには，表現したい感情の強さや混ざり具合に応じたモデルを個別に作らなければならない．本研究では，個別の感情を表現することに特化したモデルを感情ごとに作成し，タスクベクトル演算を用いてモデルを合成することで，感情の強弱や複合感情を表現する手法を提案する．LLM を用いたテキスト評価実験の結果，対象感情の強弱と感情の複合いずれについても生成テキストで表現できていることが確認された．
Q10-3,材料・化学分野のテキストに対して，固有表現抽出を試みる場合，学習に使えるデータが十分でないことやアノテーションに高度な専門知識が必要であるという問題点がある．一方で，大規模言語モデル（LLM）は少量事例（few-shot 例）に基づき，分類や推論が可能である．LLM は提供する事例によって回答の精度が大きく変化することから，適切な例を選択するための方法を設計することが重要である．本研究では，文の意味的類似性とセットカバレッジを考慮した few-shot 例選出手法 Hybrid-SET を提案する．実験結果から Hybrid-SET は既存の選択手法より優れていることを示す．
C2-1,近年，株価予測の分野では，SNS 文書の感情分析を通じて市場の感情を推定し，予測精度を向上させる研究が注目されている．しかし，SNS 特有の主観的な感情表現と金融特有の専門用語が混在する金融SNSドメインに適応したアノテーション済みデータの不足が課題となっている．本稿では，汎用，SNS，金融，金融 SNS といった 4 つのドメインにおける感情分析の精度比較とターゲットドメイン特化型学習の評価を行った．また，疑似データ生成を活用し，ポジネガ分析を用いた株価予測実験において，予測精度の向上を実現した．本稿は，金融市場において有効性を示し，他の複雑なドメインにおいても適応可能性を持つものである．
E1-2,文法化とは内容語が機能語に変わる通時変化のことである．本稿では，文法化の度合いをコーパスデータに基づいて定量化する三種類の手法を提案する．提案手法は従来手法と異なり汎用性が高いにもかかわらず，人手の分析で得られた文法化度と中程度〜高い相関を示す．また，提案手法を歴史コーパスに適用して文法化の一方向仮説の吟味を行う．
A4-2,"心の理論とは,他者の心の状態や意図を理解する能力である.近年,大規模言語モデル（LLM）の発展に伴い,その能力を評価するための分析が進められている.その中でも,尺度表現に対して聞き手が文字通りの意味を超えた推論を行う「尺度推意」は注目される課題の一つである.しかし,これまでの研究では,自然なテキストに基づく評価は十分に行われていなかった.そこで本研究では,尺度推意に関する自然なテキストデータセットを構築し, LLM の尺度推意の推論能力を評価する.結果から, GPT-4o, Llama3.1 の尺度推意の推論能力には改善の余地があることを明らかにした."
P10-6,本稿では、擬似的な選好データを用いた選好チューニングによって、対話応答生成におけるペルソナと生成応答の間の一貫性を向上させる手法を提案する。提案手法では、あるペルソナ情報付き対話データに対して、他の対話からランダムに抽出したペルソナ情報を用いて応答を生成し、これらの応答を擬似負例として扱う。参照応答を正例として扱うことで、擬似的な選好データを作成する。実験では、擬似選好データを用いて選好チューニングを行ったモデルが、通常の教師あり学習のみを用いたモデルや、ペルソナと発話間の含意関係に基づく報酬によって強化学習したモデルと比較して、より一貫性のある自然な応答を生成することを示す。
Q7-5,LLM に外部知識を統合する手法である RAG は，情報を検索する「検索器」と，その情報を基に回答を生成する「生成器」から構成されることが一般的である．本研究の目的は，検索器の能力が十分高い場合，SLM を生成器として用いても RAG が有効に機能するかを検証することである．実験では，JQaRA データセットを用いた QA タスクを実施し，検索器が常に正解文書を検索できるという理想的な条件を仮定した．その結果，検索器の性能が高い場合でも，生成器として性能の高いモデルを使用する方が全体の回答精度が向上することが示された．また，生成器の機構に関して，複数の SLM をアンサンブルとして組み合わせることで，全体の正解率を大幅に向上させる可能性が示された．
A6-1,大規模言語モデルは優れた多言語能力と広範な知識を有するが，これらの能力が内部的に形成される過程は定かでない．本研究ではこの疑問を解明するため，モデルの内部表現に含まれる情報が学習経過に伴いどう変化していくかを分析する．具体的には，モデルのチェックポイント別にスパースオートエンコーダーを学習し，その解釈結果をチェックポイント横断で比較する．実験の結果，大規模言語モデルは言語を個別に学習した後に言語間の対応関係を学習すること，トークンレベルの知識を学習した後に抽象度の高い概念レベルの学習をすることが明らかとなった．
E3-1,デジタル人文学やコーパス言語学研究に重要な日本語長単位語に対する語彙素を推定する試みを行った．語彙素の推定にはエンコーダ・デコーダ型の言語モデル(T5)を用い，長単位語の品詞や表層形の他，長単位語を構成する短単位語の品詞・語彙素，および本文を入力として，長単位語の語彙素を出力させた．短単位語彙素をベースラインとした推定に対し，本手法は高い性能が得られた．検討の結果，短単位語は長単位語彙素推定に有効であるが，事例検討から，特に口語的な表現や動詞の付属部などに関しては文脈情報(本文)が推定に有効であった．
Q7-4,ハンセン病回復者の語り部との対話を通した人権学習は，自身の考えや価値観を見つめ直す対話型体験学習として重要である．しかし，語り部の高齢化やハンセン病を取り巻く環境などの背景から，次世代の語り部への記憶の継承が難しい．本研究では，語り部の実体験や記憶を後世に継承するために，ハンセン病回復者の語り部との対話による対話型体験学習の効果を再現できる質問応答システムの構築を目指す．本論文においては，質問応答システム構築の事前実験として，証言記録のテキストにベクトル検索を適用した場合の精度を検証する．実験の結果，GLuCoSE-base-ja-v2 が最も高い性能を発揮した．
P10-7,過去情報の整合性を維持しながら応答を生成する「長期一貫性」能力は，人間らしい対話システム構築において重要な要素の一つである．これを可能にする手法として，人間の長期記憶を模したメモリモジュールを用いる手法がある[1]．最も単純な方法は，対話履歴をメモリに保存し，次の応答生成時にその対話履歴をユーザの応答とともにプロンプト入力に加えることだが，入力可能なシーケンス長の制限や V-RAM 消費量の増大など，様々な問題が発生する．本研究では，これらの問題を解決するため，長期一貫性を持ったオープンドメイン対話が可能なMemochat[2]と対話圧縮モジュールを組み合わせて，高効率なメモリモジュールを持った対話システムを提案する．対話履歴を保存する際，トピックごとに対話履歴を分割し，それらの要約と対話，トピック名を三つ組にしたメモを生成する．さらに，単純な対話圧縮モデルを用いて対話内容を短縮してメモリに保存し，後の応答生成の際にそれを利用することで，モデルへの入力トークン数を抑えつつ，過去記憶に忠実な応答生成を可能にする．公開されたデータセット及び[2]で採用されたデータセットを基に訓練用データセットを再構築し，メモ生成，検索，長期一貫性を持った応答能力の向上を図る．また，メモ生成時に分割した対話履歴内の助詞，助動詞を除去するモジュールで対話を圧縮することで，メモリモジュールの記憶効率性を上げる．最後に，対話ターンが長い対話データセットを用いて長期一貫性及びメモリ効率を検証し，その有効性を確認した．
Q9-22,条件付きテキスト埋め込みは、特定の側面に焦点を当てたテキストの埋め込み表現であり、与えられた条件に基づくテキスト同士の類似度の算出を可能にする。従来手法は、大規模な訓練データによる指示学習や意味的テキスト類似度算出タスクによる微調整が求められ、開発コストが高い。そこで本研究では、生成型 LLM をテキストエンコーダとして条件付き一語制約プロンプトを用いる、訓練不要で高品質な条件付きテキスト埋め込み PonTE を提案する。条件付き意味的類似度テキスト類似度とテキストクラスタリングによる二つの実験を通じて、提案手法は追加の訓練なしで従来手法以上の性能を達成することを示す。
E1-3,墨によって書かれた文書は，墨の濃淡情報を用いることで，その文書が作成された筆記過程を分析できる可能性がある．われわれは，墨の濃淡情報を時系列データとして分析し，墨が徐々に薄くなって，再び濃くなった箇所を筆に墨を含めなおした点として推定する手法を考えた．この手法による分析結果を人の眼で判断した正解と比較検討することで，われわれの手法の性能評価を行なった．
A4-3,深層ニューラルネットワーク（Deep NeuralNetwork: DNN）は，微小な変更が加えられた入力データである敵対的事例（Adversarial Examples: AE）を誤認識してしまう脆弱性が存在する．日本語処理用の DNN も同様の脆弱性が存在し，このような脆弱性は，DNN を実世界の課題に応用する上で重大な障害となり得る．本研究では，AE に対する日本語処理モデルの頑健性向上を目的とし，日本語に特化した再攻撃による敵対的防御手法を提案する．実験により，提案手法が通常事例の分類精度を維持しつつ，AE の矯正を行えることを確認した．
Q10-2,エンティティの内容を表す名前や説明などのテキストで表される様々な異なる種類の属性情報に含まれるエンティティの内容的な特徴を反映したエンティティ表現を獲得する新たなハイパーグラフ表現学習手法を提案する．具体的には，属性情報をエンティティとは異なるノードとして統合したハイパーグラフを定義し，その上で新たに提案するアテンション機構を利用した異種ハイパーグラフエンコーダと属性情報からエンティティを予測するエンティティ予測損失を導入し，属性情報に含まれるエンティティの内容的な特徴をエンティティ表現に統合する．PubMed データセットを対象としたノード分類において，提案手法が既存手法と比較して高い分類性能を示すことを確認した．
Q5-6,"This paper presents a case study that examines the dis-tribution of training loss values in a Japanese advertisingtext generation model. Using a LongT5 architecture, weanalyze the characteristics of training examples that exhibitboth high and low loss values. Our ﬁndings reveal severalkey patterns: low-loss examples often contain repetitivephrases and standardized advertising terminology, whilehigh-loss examples tend to feature more complex gram-matical structures and natural language patterns. We alsoidentify potential issues in training data quality and dis-cuss their implications for model performance. We ﬁndthat measuring training loss per example in the trainingdata is a useful diagnostic tool, for better understandingmodel characteristics."
P7-22,"高性能な大規模言語モデル（Large Language Model,LLM）の開発には，高品質な学習データの収集が不可欠である．しかし，データ収集には多くの課題が伴い，データ提供者とモデル開発者が異なるケースでは，組織間でのデータ共有が避けられない場合がある．この共有プロセスにおいて，データの不適切な利用や漏洩リスクは重大な課題となる．そのため，データに適切な保護処理を施し，LLM の学習以外での利用を防ぐことが必要不可欠となる．同時に，保護されたデータを用いて構築した LLM において，モデル性能が大幅に低下しないことも求められる．本研究では，保護処理を施したデータを学習データとして使用した場合における LLM への影響を，特にコード生成能力を指標として評価する．"
P8-3,本研究では、事故・不具合問い合わせの解析・類似事例の検索・回答文の生成といった作業を自動で行うシステムの実現を目指しており、本稿では、現場からの問い合わせに対し、企業に蓄積されている文書から目的の類似事例を得るための絞り込み手法を提案する。製造業の企業における現場からの問い合わせは抽象的であるため、問い合わせ意図を検索結果に反映することが難しく、1 度の問い合わせで目的の類似事例文書を得ることは難しい。そのため、本稿では、現場利用者の情報要求に応じた類似事例文書を得るために、事故事例文書の絞り込みを行うシステムを構築することを目的とし、問い合わせ文からの問い合わせ意図推定、システムが能動的に行う質問に対してユーザが回答文を入力するやり取りの中でのスロットフィリング、スロットフィリングで得られた情報をもとにリランキングを行い絞り込みを行う手法を提案する。また、提案手法の有効性を検証するために、提案手法を扱うシステムを作成し評価実験を行った。抽象的な問い合わせ文を入力とし、提示する質問に回答していくことで、正解文書が初期の検索結果でのランクよりも上位にリランキングされることを確認した。
C4-6,"CLIP は視覚言語モデルのコンポーネントとして採用される事例が増えており,重要性が増している.しかし,オープンな日本語画像・テキスト対データセットは不足しており,モデル開発の障壁となっている.本研究では,オープン LLM を用いた機械翻訳により, 20 億事例の日本語画像・テキスト対データセットを構築し,日本語 CLIP を学習した.学習済みモデルの性能を, 7 つの評価データセットを用いて評価した結果,平均スコアが同程度のモデルサイズにおいて高水準であった一方,日本文化に関するタスクの性能が低いことがわかった.学習済みモデル1）2）,学習データセット3）,翻訳ツール4）,評価コード5）は公開する."
E7-5,大規模言語モデル(LLM)の発展に伴い，資産運用業界においても LLM への期待が高まっているが，実際には様々な課題が存在する．これまで自然言語処理(NLP)技術の発展に伴い，金融テキストを対象にしたセンチメント分析も発展してきたが，その変化はセンチメント付与の手法やモデルの切り替わりが中心であり，根本的な課題や問題に対して十分な議論が不足している．そこで本研究では，従来の金融テキストにおけるセンチメント分析の課題とその解決の糸口をいくつか示す．課題を明確に示し，整理することで，金融テキストにおけるセンチメント分析が今後より発展することを期待している．
A2-5,規範的推論は、義務や許容(許可)といった規範的・義務論的なモダリティが関与する推論である。本論文では、大規模言語モデル(LLM)の規範的推論能力が持つ特徴を明らかにするために、論理的な妥当性や非妥当性との比較、人間のリーズニングとの比較という 2 つの観点から LLM の規範的推論能力の評価と分析を行った。その結果、推論のモダリティの種類(規範的推論と認識的推論)での比較や、一部の推論パターンにおいて、LLM における規範的推論が人間のリーズニングの場合とは異なる傾向を示すことが示唆された。
B9-3,自然言語処理において，最も早くから利用されてきたリソースが辞書である．辞書は多様なタスクに有用であるが，構築やメンテナンスに要するコストが課題である．我々は，辞書データへの人手の修正履歴を活用し，未修正の用語に対して修正を自動提案するシステムを構築することで，質を担保しつつ低コストでメンテナンスが可能になると考えた．本研究では，構築中の 50 万語を超える大規模医療辞書において，医療用語のメタデータを自動修正する手法を提案する．実験では，専門的な医学知識を必要とする遺伝子バイオマーカの表記ゆれの修正性能を検証した結果を報告する．本手法は，多くの辞書メンテナンス負担軽減に貢献するものである．
P2-12,本研究は，Transformer 言語モデルにおける内部表現を解釈するために，擬似直交性の概念を新たに導入してそのアテンション層および FFN 出力層の部分空間の幾何的関係を分析する．FFN 層のウェイト行列の行空間が語彙空間と擬似直交していることを示した上で，FFN 層からの出力が意味的概念を担うコンセプトベクトルとして機能し，内部表現の文脈化に寄与している可能性を明らかにする．
C6-4,小学校の作文教育における内容に関する指導では出来事の具体的な描写を促すといったことが行われる．しかし，児童にとっては具体的なイメージがわかず詳述化が困難となることもある．これに対し，作文に内容に対する質問を児童に行うことで修正の指針を示すことができると考えられるが，多くの児童の作文に対し質問を考えることは教師にとって大きな負荷となる．そこで本研究では，内容の詳述化のための質問生成に大規模言語モデルが利用できるかについて，小学生に対して行った調査に基づき検討を行った．
Q1-2,本稿では，『現代日本語書き言葉均衡コーパス』（BCCWJ）の長単位への分類語彙表番号アノテーション作業とその結果について報告する．今回構築した BCCWJ-WLSP-LUW は，BCCWJ の書籍・新聞・雑誌データに対し，『分類語彙表増補改訂版』を基に分類語彙表番号を付与し，長単位の文脈的な意味分類を可能にしたアノテーションデータである．短単位への分類語彙表番号付与作業を基盤としつつ，未定義の長単位語義については一部手作業による対応を行った．これにより，長単位においても短単位と同様に分類語彙表を用いた詳細な意味分析が可能となった．
P2-8,Transformer に基づく大規模言語モデル(LLM)の構成要素の一つであるフィードフォワードネットワーク(FFN)に着目し，モデル内の配置場所に依存した重要度を検証する．具体的には，モデル全体のパラメータ数を維持したまま，一部の連続する層でFFN の中間次元を拡大し，残りの層から FFN を除去したモデル構成を用いて標準的なタスク性能を比較する．複数のモデルサイズで評価を行った結果，全層数の 70 – 90%の連続した中間から後方の層に FFNを集中配置することで，複数の下流タスクでベースラインの性能を上回った．この結果から FNN は入力に近い層より中間から後方の層で特に重要であると示唆される結果が得られた．
D10-2,本論文では，大規模言語モデルを活用して，韓国語における刑事業務に関連する法規の解釈に基づく質問応答の性能を改善する手法を提案する．本論文においては，インターネットで公開されている刑事業務に関する法令の条文および判例情報を蓄積し，RAG(Retrieval-AugmentedGeneration，検索拡張生成)の枠組みのもとで質問に関連する法令条文および判例を検索し，これらの関連法令・判例をふまえて，大規模言語モデルによって質問に関する推論を行うことにより，質問に対する的確な回答を生成するシステムを開発する．本システムの応用事例として，韓国の刑法分野において，捜査における意思決定および法的解釈の局面での支援用途が挙げられる．
Q5-22,LLM による発話生成時にキャラクター性を持たせ一貫したペルソナで会話させることは、人間であるユーザと自然な会話を実現させるうえで重要な要素である.その手法としてプロンプトエンジニアリングや Fine-tune があるが、どのような設定の組み合わせが最適かよくわかっていない。本研究では、5 名のキャラクターを対象に、4 種類の LLM を用いて、プロンプトと Fine-tune の効果比較を行った。実験の結果、few-shot を中心にプロンプトの有効性を確認したと同時に、実験の範囲では小規模なFine-tune が総合的に良い結果を示した。
D8-2,ユーザーをポジティブな感情に誘導する対話システムのパーソナライズを目指し，性格特性による感情誘導効果の違いを検証した．ビッグファイブの性格特性ごとに高低特性を持つ 10 種の擬似ユーザーエージェントを構築し，感情誘導実験を行なった結果，外向性，開放性，誠実性，調和性が高い場合，または神経症傾向が低い場合に，ポジティブな感情誘導効果が高まる可能性が示唆された．本研究は，性格特性を考慮した感情誘導対話システムの設計に向けた基礎的知見を提供する．
Q2-17,大規模言語モデルの hallucination（与えられた情報源に存在しない内容を生成する現象）は，実応用上での重要な課題となっている．本研究では，日本語における hallucination 評価のための包括的なベンチマーク JHARS （Japanese Hallucination Assessmentin RAG Settings）を構築し，最新の GPT-4o を含む3 つのモデルを対象に分析を行った．その結果，hallucination 発生率は低い一方，事実確認が必要な重大な hallucination が検出された．また，自動検出における高い適合率と再現率の両立は困難であるものの，重大な hallucination に関しては高い再現率で検出可能であることが示された．これは，LLM 自身による出力の検証が，ユーザへの事実確認支援として機能する可能性を示唆している．
Q2-15,近年では，SNS や大規模言語モデルの普及に伴い，誤った情報が拡散しやすくなっている．誤った情報の影響を抑えるには，Fact-checking が重要となる．Fact-checking は，判定対象が誤っていないか，外部のデータベースに基づいて判定するタスクである．このタスクでは，判定に必要な情報を外部データベースから検索することが求められる．本研究では，情報検索を行った後に，補足コンテキストの生成を行うことで，より多くの判定に有用な情報の取得を試みた．
Q5-20,"We propose an iterative graph-to-text generation methodto produce coherent scientiﬁc abstracts from paragraph-level knowledge graphs. The method segments the graphsinto smaller, context-speciﬁc components using functionallabels, which guide each generation step and inﬂuence sub-sequent outputs. Experimental results demonstrate thatﬁne-tuning the proposed method enhances the alignmentof Large Language Models (LLMs) with target seman-tics. Moreover, incorporating functional labels and itera-tive generation further improves semantic accuracy, struc-tural clarity, and logical organization, providing a scalablesolution for high-quality abstract generation."
C6-6,本研究は，日本語学習者向けの文章の難易度判定の可視化と日本語能力試験（JLPT）との対応付けを行うものである．別の研究で提案した分類精度が 88.0%の 35 の言語指標集合を基に，難易度を文字語彙，文構造，談話構造の 3 観点から捉え，それぞれリッジ回帰モデルを構築し，スコアを可視化した．JLPT の読解文章を用いて提案手法を検証した結果，提案モデルは全体的に判定精度が高く，観点別の難易度スコアを科学的根拠に基づいて提示できる点で，大規模言語モデルを用いた判定手法に対して優位性を示した．さらに，日本語教育における難易度と教育枠組みの関連性を明らかにするため，一般の日本語文章と JLPT の読解文章における観点別難易度の相対位置を可視化した．これらの成果は学習者のレベルに合わせた読解教材の作成・開発に貢献することが期待される．
E5-5,"近年,拡大する ESG 投資に対し,従来の評価基準における開示の有無だけでは不十分という課題を解決すべく,バリューモデルは 81 の明確な目標を設定し企業のサステナビリティ活動を評価する枠組みを提示している.本稿では,バリューモデルの 168 のサブゴールうち従業員向け 42 サブゴールを対象に,大規模言語モデル（LLM）を用いた情報抽出を検証した.具体的には,企業のサステナビリティレポートトに対し「従業員のメンタルヘルス施策」などの定量および定性情報を抽出するプロンプトを設計し, LLM のツールのひとつである ChatPDF からの回答を人手で検証したところ,報告書の表のレイアウトや類義語の違いなどに起因して未抽出情報率が企業ごとに 20～40%台と大きく異なることが示された.この結果は, LLM 活用の際,レポート側のレイアウトや抽出に適した類義語のプロンプト設計が重要であることを示している."
P5-19,近年，音声言語処理の新たな手法として TextlessNLP（テキスト資源に頼らず音声資源のみを用いてNLP システムを構築する試み）が注目を集めている．その基盤となる「音声言語モデル」は，音声シグナルを「トークナイズ」して離散表現に変換した上で言語モデルを学習し，音声言語処理の実現を目指すものである．本研究では，計 36 通りの音声トークナイズ手法を用いて音声言語モデルを学習して性能を比較し，音声トークナイズが音声言語モデルの性能に与える影響を調査した．実験の結果，音声シグナルを適切な粒度で分節すること，離散化時のクラスタ数を増やすことの有用性が示唆された．
P2-10,本研究では，言語の埋め込み表現である単語ベクトルや埋め込み層について，表現に必要十分な次元である内在次元(Intrinsic Dimension; ID)を計測し，その冗長度合いを定量評価する．具体的には，(1)Word2Vec や GloVe などの小規模モデルの埋め込みが持つ ID を推定し，(2) Pythia 系列を代表とする大規模言語モデルの埋め込み層における ID をスケール別・学習過程別に解析する．実験の結果，埋め込み空間が外在的な次元に比べ低い次元の多様体上に分布する傾向が見られた．また，モデル規模の拡大に伴う冗長率の変化や，学習初期における急激な IDの形成が見られた．
B9-1,ダイエットカフェ株式会社から国立情報学研究所（NII）を通じて研究者に提供されているデータセットである「ダイエット口コミデータセット」の貸与を受けた。合計約 19 万 9 千件の口コミから成る当該データセットのうち，ダイエットドリンク約４万 3千件，ダイエット食品約 8 千件について，出現する単語の共起ネットワーク図を作成したので報告する。
