UID,title,authors,keywords,sessions
Q1-3,JETHICS: 日本語道徳理解度評価用データセット,竹下昌志|ジェプカラファウ,,Q1:ポスター
Q1-4,説得力および納得度の推定に向けたWebディベートデータセットの構築,大杉康仁|吉田明弘|中辻真,,Q1:ポスター
Q1-5,改正後法令文翻訳のための疑似三つ組コーパスの構築,山腰貴大|小川泰弘|外山勝彦,,Q1:ポスター
Q1-6,Fine-Grained Error Annotations for Sentence Simplification by Large Language Models,XuanxinWU|YukiArase,,Q1:ポスター
Q1-7,小説テキストに対する登場人物アノテーション,大島一海|小川浩平|佐藤理史,,Q1:ポスター
Q1-8,技能者インタビュー対話コーパス (EIDC) v.2.0: コツ発話の同定に向けた相互行為アノテーション,近大志|岡久太郎|YinJouHuang|樽谷洋希|松田思鵬|村脇有吾|黒橋禎夫,,Q1:ポスター
Q1-9,沿革情報を用いた企業名変遷の構造化,澤田悠冶|大内啓樹|安井雄一郎|寺西裕紀|松本裕治|渡辺太郎|石井昌之,,Q1:ポスター
Q1-10,タンパク質立体構造データと紐づけたコーパス作成の試み,佐久間航也|丹羽智美,,Q1:ポスター
Q1-11,BCCWJ-Metaphorにおける比喩表現認定と情報付与作業手順,加藤祥|菊地礼|浅原正幸,,Q1:ポスター
Q1-12,Evaluating Large Language Models in Mongolian,DorjnyamTumur-Ochir|FeiCheng|村脇有吾|ChenhuiChu,,Q1:ポスター
Q1-13,短単位版「関西弁コーパス」の構築と予備的分析,尹熙洙|王竣磊|岡田純子|小木曽智信,,Q1:ポスター
Q1-14,日英対訳ジオパージングデータセット ATD-Para,東山翔平|大内啓樹|藤田篤|内山将夫,,Q1:ポスター
Q1-15,大規模言語モデルを用いた物語分析データセットの効率的構築：日本語物語の話者推定を例として,郷原聖士|上垣外英剛|渡辺太郎,,Q1:ポスター
Q1-16,Zero pronoun annotation in Malay and beyond,野元裕樹|FarhanAthirahbintiAbdulRazak|藤田航平,,Q1:ポスター
Q1-17,ゲーム内テキスト抽出におけるOCRの性能評価―レイアウトと解像度の影響に着目して―,麻子軒,,Q1:ポスター
Q1-18,Tabidachi: 旅行代理店タスク対話コーパス,稲葉通将|千葉祐弥|斉志揚|東中竜一郎|駒谷和範|宮尾祐介|長井隆行,,Q1:ポスター
Q1-19,大規模画像言語モデルは物体の裏側を認識できるか？物体の見えない部分の認識を問うタスクの提案,竹中誠|谷中瞳,,Q1:ポスター
Q1-20,「現代日本語書き言葉均衡コーパス」の拡張―BCCWJ2の構築―,山崎誠|高橋雄太|小木曽智信,,Q1:ポスター
Q1-21,SciGA: 学術論文における Graphical Abstract 設計支援のための統合データセット,川田拓朗|根本颯汰|北田俊輔|彌冨仁,,Q1:ポスター
Q1-22,否定の観点からみた日本語言語理解ベンチマークの評価,湯浅令子|吉田朝飛|加藤芳秀|松原茂樹,,Q1:ポスター
Q1-23,オンライン誹謗中傷検出に向けた裁判例データセット,久田祥平|若宮翔子|荒牧英治,,Q1:ポスター
Q1-24,MATCHA：専門家が平易化した記事を用いたやさしい日本語パラレルコーパス,宮田莉奈|惟高日向|山内洋輝|柳本大輝|梶原智之|二宮崇|西脇靖紘,,Q1:ポスター
A2-1,大規模言語モデルにおける複数の指示追従成功率を個々の指示追従成功率から推定する,原田憲旺|山崎友大|谷口仁慈|小島武|岩澤有祐|松尾豊,,A2:NLPモデルの評価・安全性・信頼性(2)
A2-2,オープン日本語LLMリーダーボードの構築と評価結果の分析,NamgiHan|岡本拓己|石田茂樹|林俊宏|AkimMousterou|BowenChen|宮尾祐介,,A2:NLPモデルの評価・安全性・信頼性(2)
A2-3,pfgen-bench: 日本語事前学習モデルのための文章生成性能評価ベンチマーク,今城健太郎|平野正徳|鈴木脩司|三上裕明,,A2:NLPモデルの評価・安全性・信頼性(2)
A2-4,固有表現抽出におけるタスク特化型BERTと大規模言語モデルの性能比較と実用性評価,黒澤研二|市川聖|原口昌也|狭間美祐希|桜井駿,,A2:NLPモデルの評価・安全性・信頼性(2)
A2-5,大規模言語モデルの規範的推論能力の評価: 論理とリーズニングの観点から,小関健太郎|安東里沙子|森下貴允|阿部裕彦|峯島宏次|岡田光弘,,A2:NLPモデルの評価・安全性・信頼性(2)
A2-6,JaSocial：LLM の社会的知能を評価するための日本語敬語使用フレームワーク,MuxuanLiu|石垣達也|宮尾祐介|高村大也|小林一郎,,A2:NLPモデルの評価・安全性・信頼性(2)
B2-1,Modal DTSによる様相従属化の分析,飯村葵|水野輝之|戸次大介,,B2:計算・形式言語学(2)
B2-2,二重目的語構文，与格構文におけるWeak Crossover現象の分析と検証実験,藤田琴海|DanielPlesniak|福島遥|戸次大介,,B2:計算・形式言語学(2)
B2-3,日本語推論システムlightblueの開発環境構築に向けて,佐伯小遥|富田朝|戸次大介,,B2:計算・形式言語学(2)
B2-4,日本語比較表現のための論理推論システムの構築,三上燿輔|松岡大樹|谷中瞳,,B2:計算・形式言語学(2)
B2-5,自然言語推論システムNeural DTSの学習アルゴリズムの実装,飯沼瑞稀|戸次大介,,B2:計算・形式言語学(2)
B2-6,情報構造の類型論に向けた談話データのコーディング,児倉徳和|中川奈津子|佐藤久美子|吉村大樹,,B2:計算・形式言語学(2)
C2-1,ドメイン特化疑似データを用いたXの感情分析による日経平均株価騰落予測の精度比較,今本竜樹|櫻井義尚,,C2:評判・感情分析，スタイル分析
C2-2,否定語の影響と単語の重要度を考慮した近似VADスコアによる感情認識チャットシステムの開発,徐恃源|尾関智子,,C2:評判・感情分析，スタイル分析
C2-3,BERTに基づいたRussell円環モデルの感情分析,古泳欣|小林一郎,,C2:評判・感情分析，スタイル分析
C2-4,ビジネス文書を対象とした大規模言語モデルを用いた読み手にストレスを与える文章の検出,松永剛之進|野島瞳|森下洋平|青木輝勝,,C2:評判・感情分析，スタイル分析
C2-5,自動プロンプト最適化は個人的選好の予測精度を向上させるか?,劉弘毅|谷中瞳,,C2:評判・感情分析，スタイル分析
C2-6,大規模言語モデルによる感情分析を用いたデータの品質検証と文章校正,内田大貴|一木輝久,,C2:評判・感情分析，スタイル分析
D2-1,グライスの環境とグライスの外,高橋速巳,,D2:テーマセッション2: 人とAIの共生に向けた対話システム・言語使用の研究(1)
D2-2,GPT2モデルを用いた感情を考慮する日本語対話生成,竹原和輝|全昌勤,,D2:テーマセッション2: 人とAIの共生に向けた対話システム・言語使用の研究(1)
D2-3,日本語日常二人会話における参与者の頷きと共起する発話,臼田泰如|中西菜束萌,,D2:テーマセッション2: 人とAIの共生に向けた対話システム・言語使用の研究(1)
D2-4,大規模言語モデルを用いた実世界タスク指向対話におけるICL・ファインチューニングの効果の検証,佐々木裕,,D2:テーマセッション2: 人とAIの共生に向けた対話システム・言語使用の研究(1)
D2-5,ChatGPTが考える日本語ジョークの面白さ：人間との比較,中川隼三郎|野元裕樹,,D2:テーマセッション2: 人とAIの共生に向けた対話システム・言語使用の研究(1)
E2-1,イノベーティブな言語使用は集団的アイデンティティの指標になりうるか？,伊藤和浩|矢田竣太郎|若宮翔子|荒牧英治,,E2:テーマセッション6: 人文学と言語処理(2)
E2-2,文献レビューにおける構造トピックモデルの活用―　心理学概念セルフ・コンパッションを題材として―,岡野裕仁|村上遥|有海春輝|野村理朗,,E2:テーマセッション6: 人文学と言語処理(2)
E2-3,社会学理論と言語処理技術の接続：ブルデュー理論に基づく言語処理「界」の分析を事例に,高橋祐貴|塚越柚季,,E2:テーマセッション6: 人文学と言語処理(2)
E2-4,大規模言語モデルを用いたサンスクリット辞書の横断的意味探索と意味提示,塚越柚季|大向一輝,,E2:テーマセッション6: 人文学と言語処理(2)
E2-5,語形のベクトル化による最適な言語地図の描画,近藤泰弘|持橋大地,,E2:テーマセッション6: 人文学と言語処理(2)
P2-1,プロンプトの言語による数値時系列解釈能力の変化,新井深月|石垣達也|宮尾祐介|高村大也|小林一郎,,P2:ポスター
P2-2,Representational Analysis of Binding in Language Models,代勤|BenjaminHeinzerling|乾健太郎,,P2:ポスター
P2-3,解釈可能性の高い自動採点モデルを用いた小論文採点支援システムの構築,水野友暉|竹内孔一,,P2:ポスター
P2-4,ウェーブレット位置符号化,岡佑依|長谷川拓|西田京介|齋藤邦子,,P2:ポスター
P2-5,Beyond the Induction Circuit: A Mechanistic Prototype for Out-of-domain In-context Learning,趙羽風|井之上直也,,P2:ポスター
P2-6,LLMにおける内部表現を用いた日本語スタイル制御メカニズムの分析,高橋良允|矢野一樹|成瀬健太|武井美緒|梶佑輔|鈴木潤,,P2:ポスター
P2-7,大規模言語モデル内部における言語と計算領域の区分,木迫璃玖|栗林樹生|笹野遼平,,P2:ポスター
P2-8,Transformer LLMにおける層単位のFFN層の重要度検証,池田航|矢野一樹|高橋良允|李宰成|柴田圭悟|鈴木潤,,P2:ポスター
P2-9,言語モデルのパラメータから探るDetokenizationメカニズム,鴨田豪|BenjaminHeinzerling|稲葉達郎|工藤慧音|坂口慶祐|乾健太郎,,P2:ポスター
P2-10,埋め込み表現の内在次元を測る,片岩拓也|趙羽風|大木哲史,,P2:ポスター
P2-11,誤字に対するTransformerベースLLMのニューロンおよびヘッドの役割調査,辻航平|平岡達也|鄭育昌|荒牧英治|岩倉友哉,,P2:ポスター
P2-12,部分空間の擬似直交性によるTransformer言語モデルの内部表現の解釈,前田晃弘|鳥居拓馬|日髙昇平|井之上直也|大関洋平,,P2:ポスター
P2-13,「数」に着目したLLMの多言語能力の検証,羽根田賢和|岸波洋介|藤井諒|森下睦,,P2:ポスター
P2-14,言語モデルが有する時間的推論に関する事実知識の分析,中屋和樹|松田源立,,P2:ポスター
P2-15,独立成分分析による事前学習済み多言語モデルの層を横断した単語埋め込み表現の分析,北野雄士|西田悠人|坂上温紀|上垣外英剛|渡辺太郎,,P2:ポスター
P2-16,事前学習言語モデルのドメイン適応能力に関する分析：ドメイン特有ニューロンの検出と分析,鈴木雅弘|高柳剛弘|坂地泰紀|和泉潔,,P2:ポスター
P2-17,文脈の記憶と想起を行う状態空間モデルによる状態遷移の分析,山本悠士|松崎拓也,,P2:ポスター
P2-18,ロススパイクの影響分析,杉浦一瑳|栗田修平|小田悠介,,P2:ポスター
P2-19,多言語モデルには言語非依存の処理系統が存在するか,手塚陽大|井之上直也,,P2:ポスター
P2-20,言語モデルの内部表現における文法情報の局所性について,佐藤宏亮|鴨田豪|BenjaminHeinzerling|坂口慶祐,,P2:ポスター
P2-21,算術タスクを用いた文脈内学習による外挿能力の分析,進藤稜真|竹下昌志|ジェプカラファウ|伊藤敏彦,,P2:ポスター
P2-22,単語埋め込みの独立成分分析の軸が解釈できる粒度はどれくらいか？,佐藤祥太|木山朔|中島秀太|小町守|唐堂由其,,P2:ポスター
P2-23,ニューロン経験勾配によるモデル出力の制御と言語知識表現の統合,趙信|江澤輝|吉永直樹,,P2:ポスター
P2-24,Wikipediaリダイレクト情報を活用したエンティティベース質問応答データセットの構築,西田悠人|志子田直輝|岸波洋介|藤井諒|森下睦|上垣外英剛|渡辺太郎,,P2:ポスター
P2-25,TrendScape 1.0: 言語モデルの潜在空間上の概念探索,本田純也|坂本航太郎|高木志郎|林祐輔|小川修平|松尾豊,,P2:ポスター
P2-26,紙とデジタルの違いが書く活動に及ぼす影響：漢字・熟語・慣用表現・四字熟語を対象に,西内沙恵|西川竜矢|嶋田善行|大橋賢一,,P2:ポスター
Q2-1,JHACE: Human-AI Collaborationの評価法の提案，及び，対人スキルの影響の調査,西岡竜生|若宮翔子|清水伸幸|藤田澄男|荒牧英治,,Q2:ポスター
Q2-2,LLMの安全性における大規模人手評価,高橋哲朗|鈴木久美|関根聡,,Q2:ポスター
Q2-3,AnswerCarefully: 日本語LLM安全性向上のためのデータセット,鈴木久美|勝又智|児玉貴志|高橋哲朗|中山功太|関根聡,,Q2:ポスター
Q2-4,llm-jp-judge: 日本語LLM-as-a-Judge評価ツール,中山功太|児玉貴志|鈴木久美|宮尾祐介|関根聡,,Q2:ポスター
Q2-5,アドオン型のLLMアライメント,宮岡佑弥|井上正樹,,Q2:ポスター
Q2-6,英語母語話者と生成AIの文法性判断の差異調査,吉村理一|陳曦|伊藤薫|森部想水,,Q2:ポスター
Q2-7,システム発話を起点とした雑談会話におけるパーソナリティを考慮した話題推薦の検討,藤本裕之|島田陽介|大野実,,Q2:ポスター
Q2-8,ソーシャルメディアからの偽・誤情報データセットとLLM正確性ベンチマークの提案,中里朋楓|大西正輝|鈴木久美|澁谷遊野|高木聡一郎,,Q2:ポスター
Q2-9,An in-depth human study of the mathematical reasoning abilities in Large Language Models,CarolinaDias-Alexiou|EdisonMarrese-Taylor|YutakaMatsuo,,Q2:ポスター
Q2-10,Cultural Adaptability of Multilingual Large Language Models: A Comparative Study in Japanese Workplace Contexts,ZhiweiGao|清水伸幸|藤田澄男|ShaowenPeng|若宮翔子|荒牧英治,,Q2:ポスター
Q2-11,Code LLM 事前学習時の評価データ混入への対策,金山博|大湖卓也|村岡雅康|吉田一星,,Q2:ポスター
Q2-12,大規模言語モデルの分布予測における常識に基づいた割合予測能力の評価,鈴木刀磨|片山歩希|郷原聖士|辻本陵|中谷響|林和樹|坂井優介|上垣外英剛|渡辺太郎,,Q2:ポスター
Q2-13,架空語に対する LLM の知ったかぶりの自動評価,岩本蘭|金山博|村岡雅康|吉田一星,,Q2:ポスター
Q2-14,評価結果の予測確率を用いたLLMによるLLMの相対評価,森田隼功|大林弘明|田村晃裕|濱田充男|加藤恒夫,,Q2:ポスター
Q2-15,Fact-checkingのための補足コンテキストによる情報の拡充,籾井裕貴|滝口哲也|有木康雄,,Q2:ポスター
Q2-16,復号手法が大規模言語モデルにおける不確実性推定に与える影響の調査,橋本航|上垣外英剛|渡辺太郎,,Q2:ポスター
Q2-17,JHARS: RAG設定における日本語Hallucination評価ベンチマークの構築と分析,亀井遼平|坂田将樹|邊土名朝飛|栗原健太郎|乾健太郎,,Q2:ポスター
Q2-18,JamC-QA: 日本固有の知識を問う多肢選択式質問応答ベンチマークの構築,岡照晃|柴田知秀|吉田奈央,,Q2:ポスター
Q2-19,LLMのクロスリンガル知識編集に関する分析,友成光|森下皓文|角掛正弥|今一修|十河泰弘,,Q2:ポスター
Q2-20,Evaluating Robustness of LLMs to Numerical Variations in Mathematical Reasoning,YangYuli|山田寛章|徳永健伸,,Q2:ポスター
Q2-21,大規模言語モデルにおける多段推論の依存構造と推論能力の関係検証,榎本倫太郎|新妻巧朗|栗田修平|河原大輔,,Q2:ポスター
Q2-22,Mitigating Social Bias in Large Language Models by Self-Correction,PanatchakornAnantaprayoon|金子正弘|岡崎直観,,Q2:ポスター
Q2-23,LLM は日本の民話を知っているか？ 妖怪知識評価データセットの構築へ向けて,堤歩斗|陣内佑,,Q2:ポスター
Q2-24,大規模言語モデルの数値データ説明における例示と補足の効果,江部正周|青山敦,,Q2:ポスター
Q2-25,議論形式のマルチエージェント自動評価の詳細分析,内藤悠|佐藤魁|佐々木翔大|鈴木潤,,Q2:ポスター
A3-1,大規模言語モデルはデータ漏洩を隠蔽できるのか,高橋侑成|YoumiMa|金子正弘|岡崎直観,,A3:NLPモデルの評価・安全性・信頼性(3)
A3-2,LLMマルチエージェント間の相互作用の分析,平野皓己|何子軒|清水勇喜|陳曄|土井智暉|谷中瞳,,A3:NLPモデルの評価・安全性・信頼性(3)
A3-3,実用的な品質観点に基づくRAG性能評価用QAデータセットの自動生成,寺井孝則|田原英一|大石悠河|湯浅晃,,A3:NLPモデルの評価・安全性・信頼性(3)
A3-4,日本語論文に特化したPDF文書解析器の構築と性能評価,嘉本名晋|梅澤悠河|長尾浩良|桂井麻里衣,,A3:NLPモデルの評価・安全性・信頼性(3)
A3-5,事前学習データに含まれる社会的バイアスの分析と軽減,宇田川拓真|趙陽|金山博|BishwaranjanBhattacharjee,,A3:NLPモデルの評価・安全性・信頼性(3)
A3-6,ローカルLLMとRAGを用いたPSU診療支援対話システムの検討,林海斗|桐山知彦|尾崎理沙|目黒巧巳|多屋優人|本庄勝|小林七彩|治徳大介|内田真人,,A3:NLPモデルの評価・安全性・信頼性(3)
B3-1,LLM による価格交渉シミュレーションにおけるアンカリング効果の検証,武並佳輝|YinJouHuang|村脇有吾|ChenhuiChu,,B3:心理言語学・認知モデリング(1)
B3-2,「心の中の言葉」はどのように予測できるか？ ―複数のモダリティの特徴に基づく脳活動デコーディングプロセスの構築―,MuxuanLiu|西田知史|小林一郎,,B3:心理言語学・認知モデリング(1)
B3-3,日本語母語話者において人名の音象徴がその人の性格特性の想起に与える影響,平野舜|木山幸子,,B3:心理言語学・認知モデリング(1)
B3-4,英文リーダビリティ指標FKGLはほぼ平均文中音節数である,江原遥,,B3:心理言語学・認知モデリング(1)
B3-5,Shaping Personality of Large Language Models: An Approach Based on Representation Engineering,YinJouHuang|PrakharSaxena|ZiChengZhao,,B3:心理言語学・認知モデリング(1)
B3-6,ToMATO: 心の理論ベンチマークのためのロールプレイングLLMの心的状態の言語化,篠田一聡|北条伸克|西田京介|水野沙希|鈴木啓太|増村亮|杉山弘晃|斎藤邦子,,B3:心理言語学・認知モデリング(1)
C3-1,大規模マルチモーダルモデルにおけるビジョンエンコーダーの付け替えと、日本語に強いモデル作成へ向けて,佐藤諒|木下彰|中田乙一|金箱裕介|麻場直喜,,C3:マルチモーダル(1)
C3-2,物体検出モデルの信頼値を利用したVQAモデルによるぬいぐるみ画像分類,尾関迅|佐藤伶耶|鈴木秀佳|船田眞帆|仲宗根太郎|櫻井義尚,,C3:マルチモーダル(1)
C3-3,Large Vision-Language Modelを用いた非構造ドキュメント画像向け情報抽出,江上尚志|中田百科|福地鈴佳|久保田茉莉花|山根大輝|薬師寺政和,,C3:マルチモーダル(1)
C3-4,複数タスク・複数項目に跨ったマルチモーダル自動評価手法,大井聖也|金子正弘|岡崎直観|井上中順,,C3:マルチモーダル(1)
C3-5,マルチモーダル大規模言語モデルはジェスチャーをどこまで理解しているのか：指標性・図像性・象徴性を問う,西田典起|井上昂治|中山英樹|坊農真弓|高梨克也,,C3:マルチモーダル(1)
C3-6,CLIPのModality Gapを考慮したRAG検索手法の改良,山下修平|白藤大幹|斉藤辰彦,,C3:マルチモーダル(1)
D3-1,日本語日常会話における他者開始修復の分析,坪倉和哉|入部百合絵|北岡教英,,D3:テーマセッション2: 人とAIの共生に向けた対話システム・言語使用の研究(2)
D3-2,音声対話システムのための意味的類似度を考慮した予測信頼度モデル,森清忠|河野誠也|アンケルガルシアコントレラス|吉野幸一郎,,D3:テーマセッション2: 人とAIの共生に向けた対話システム・言語使用の研究(2)
D3-3,Exploring User Feedback: A Thematic and Sentiment Analysis of User Interactions with LLM-Based Dialogue Robots,MuhammadYezaBaihaqi|AngelGarciaContreras|河野誠也|吉野幸一郎,,D3:テーマセッション2: 人とAIの共生に向けた対話システム・言語使用の研究(2)
D3-4,生成AIと俳句創作―「対話」による学習支援はどのように可能か,松永典子,,D3:テーマセッション2: 人とAIの共生に向けた対話システム・言語使用の研究(2)
D3-5,非流暢な合成音声,モクタリ明子|波多野博顕|新井潤|キャンベルニック|定延利之,,D3:テーマセッション2: 人とAIの共生に向けた対話システム・言語使用の研究(2)
